"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 18 21:29:09 IST 2023","Sun Jun 18 21:29:33 IST 2023","23743","","Testing the Checkout Page of PortOne Global","","","","TC001_PortOneGlobal_CheckoutPage_LanguageDropdown",""
"failed","Sun Jun 18 21:31:13 IST 2023","Sun Jun 18 21:31:24 IST 2023","10604","","Testing the Final Payment methode Page of PortOne Global","","","","TC002_PortOneGlobal_CheckoutPage_InstallmentOption_FinalPaymentMethodPage",""
"passed","Sun Jun 18 21:30:19 IST 2023","Sun Jun 18 21:30:40 IST 2023","20485","","Testing the Checkout Page of PortOne Global","","","","TC005_PortOneGlobal_CheckoutPage_PaymentOptions_WalletOption",""
"failed","Sun Jun 18 21:31:24 IST 2023","Sun Jun 18 21:31:52 IST 2023","27616","","Testing the Final Payment methode Page of PortOne Global","","","","TC003_PortOneGlobal_CheckoutPage_WalletPayment_FinalPaymentMethodPage",""
"passed","Sun Jun 18 21:32:29 IST 2023","Sun Jun 18 21:32:41 IST 2023","12209","","Testing the Payment page of PortOne Globals","","","","TC005_PortOneGlobal_PaymentPage_PaymentDetailsForm with valid input data",""
"passed","Sun Jun 18 21:29:47 IST 2023","Sun Jun 18 21:30:02 IST 2023","15186","","Testing the Checkout Page of PortOne Global","","","","TC003_PortOneGlobal_CheckoutPage_PaymentOptions",""
"passed","Sun Jun 18 21:30:02 IST 2023","Sun Jun 18 21:30:19 IST 2023","17348","","Testing the Checkout Page of PortOne Global","","","","TC004_PortOneGlobal_CheckoutPage_PaymentOptions_CODoption",""
"passed","Sun Jun 18 21:29:33 IST 2023","Sun Jun 18 21:29:47 IST 2023","13967","","Testing the Checkout Page of PortOne Global","","","","TC002_PortOneGlobal_CheckoutPage_TotalAmount",""
"passed","Sun Jun 18 21:32:03 IST 2023","Sun Jun 18 21:32:07 IST 2023","4404","","Testing the Payment page of PortOne Globals","","","","TC001_PortOneGlobal_ PaymentPage_LanguageDropdown",""
"passed","Sun Jun 18 21:32:15 IST 2023","Sun Jun 18 21:32:22 IST 2023","7259","","Testing the Payment page of PortOne Globals","","","","TC003_PortOneGlobal_PaymentPage_PaymentDetailsForm with Invalid Email",""
"passed","Sun Jun 18 21:32:22 IST 2023","Sun Jun 18 21:32:29 IST 2023","7124","","Testing the Payment page of PortOne Globals","","","","TC004_PortOneGlobal_PaymentPage_PaymentDetailsForm with Invalid Phone Number",""
"passed","Sun Jun 18 21:30:55 IST 2023","Sun Jun 18 21:31:13 IST 2023","18776","","Testing the Final Payment methode Page of PortOne Global","","","","TC001_PortOneGlobal_CheckoutPage_CODoption_FinalPaymentMethodPage",""
"passed","Sun Jun 18 21:32:07 IST 2023","Sun Jun 18 21:32:15 IST 2023","7440","","Testing the Payment page of PortOne Globals","","","","TC002_PortOneGlobal_PaymentPage_PaymentDetailsForm_with Invalid Amount",""
